Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-04,3212.0,3221.0,3198.81,3206.22,2245700,0,0
2021-06-07,3197.33,3208.0,3172.2,3198.01,2215800,0,0
2021-06-08,3222.61,3279.53,3218.01,3264.11,3416700,0,0
2021-06-09,3272.87,3297.58,3270.7,3281.15,2455500,0,0
2021-06-10,3282.01,3351.0,3281.15,3349.65,3476500,0,0
2021-06-11,3349.65,3366.58,3333.45,3346.83,2813900,0,0
2021-06-14,3346.83,3385.0,3335.5,3383.87,2569700,0,0
2021-06-15,3384.0,3396.99,3363.11,3383.13,2426200,0,0
2021-06-16,3392.0,3426.35,3360.53,3415.25,4191900,0,0
2021-06-17,3403.18,3435.97,3401.0,3434.22,1053873,0,0
