Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-04,2369.27,2399.03,2362.41,2393.57,1222500,0,0
2021-06-07,2389.44,2404.51,2381.0,2402.3,1206000,0,0
2021-06-08,2412.01,2419.52,2394.78,2398.44,1212000,0,0
2021-06-09,2411.43,2412.88,2396.9,2407.94,897100,0,0
2021-06-10,2406.92,2436.0,2403.78,2435.13,1295200,0,0
2021-06-11,2440.0,2441.72,2418.96,2430.2,1097400,0,0
2021-06-14,2432.26,2448.92,2418.0,2448.91,1104900,0,0
2021-06-15,2449.0,2455.51,2421.12,2428.39,1078100,0,0
2021-06-16,2431.44,2437.72,2389.4,2415.45,1321100,0,0
2021-06-17,2413.95,2436.0,2410.0,2435.81,243142,0,0
