Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-04,247.76,251.65,247.51,250.79,25275000,0,0
2021-06-07,249.98,254.09,249.81,253.81,23079200,0,0
2021-06-08,255.16,256.01,252.51,252.57,22455000,0,0
2021-06-09,253.81,255.53,253.21,253.59,17937600,0,0
2021-06-10,254.29,257.46,253.67,257.24,24563600,0,0
2021-06-11,257.99,258.49,256.61,257.89,18995100,0,0
2021-06-14,257.9,259.95,256.8,259.89,19150500,0,0
2021-06-15,259.77,259.99,257.68,258.36,18038900,0,0
2021-06-16,259.4,260.58,254.42,257.38,27178100,0,0
2021-06-17,256.07,258.98,256.01,258.83,4774883,0,0
