Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-04,579.71,600.61,577.2,599.05,24002100,0,0
2021-06-07,591.83,610.0,582.88,605.13,22543700,0,0
2021-06-08,623.01,623.09,595.5,603.59,26053400,0,0
2021-06-09,602.17,611.79,597.63,598.78,16584600,0,0
2021-06-10,603.88,616.59,600.5,610.12,23919600,0,0
2021-06-11,610.23,612.56,601.52,609.89,16165000,0,0
2021-06-14,612.23,625.49,609.18,617.69,20424000,0,0
2021-06-15,616.69,616.79,598.23,599.36,17764100,0,0
2021-06-16,597.54,608.5,593.5,604.87,22094200,0,0
2021-06-17,601.89,613.99,601.34,611.87,5708045,0,0
